name,price,reviews,reviewScore,copiesSold,publishers,avg_publisher_copies,year,season,years_since_release,popularity,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy
Hollow Knight,14.99,322660,97,8589320,Team Cherry,8589320.0,2017,Winter,7,4,1,1,0,0,0,1,0,0,0,0,0,0
Just Cause™ 3,19.99,113189,83,5887761,Square Enix,733116.220338983,2015,Fall,9,4,1,1,0,0,0,0,0,0,0,0,0,0
Grounded,39.99,67226,89,2418810,Xbox Game Studios,1525461.4473684211,2022,Fall,2,4,1,1,0,0,0,0,0,0,0,0,0,0
Borderlands: The Pre-Sequel,69.99,37518,83,3503692,"2K, Aspyr (Linux)",3503692.0,2014,Fall,10,4,1,0,0,0,0,0,0,1,0,0,0,0
Shadowverse CCG,0.0,14503,74,1741605,"Cygames, Inc., Cygames Korea Inc.",1741605.0,2016,Fall,8,4,0,0,0,0,1,0,0,0,0,0,0,1
Stellaris,39.99,157828,88,4445082,Paradox Interactive,1036797.0,2016,Spring,8,4,0,0,0,0,0,0,0,0,0,1,0,1
DARK SOULS™: REMASTERED,39.99,90660,91,2288131,"FromSoftware, Inc, Bandai Namco Entertainment",2288131.0,2018,Spring,6,4,1,0,0,0,0,0,0,0,0,0,0,0
Oxygen Not Included,24.99,109936,97,4784399,Klei Entertainment,1463667.4444444445,2019,Summer,5,4,0,0,0,0,0,1,0,0,0,1,0,0
Total War: WARHAMMER,59.99,50374,78,1708641,"SEGA, Feral Interactive (Linux), Feral Interactive (Mac)",1708641.0,2016,Spring,8,4,1,0,0,0,0,0,0,0,0,0,0,1
Dead Cells,24.99,142960,97,4830005,Motion Twin,4830005.0,2018,Summer,6,4,1,1,0,0,0,1,0,0,0,0,0,0
XCOM® 2,59.99,91035,84,3071868,"2K, Feral Interactive (Mac), Feral Interactive (Linux)",3071868.0,2016,Winter,8,4,0,0,0,0,0,0,0,0,0,0,0,1
Assassin's Creed® Origins,59.99,95960,87,3108963,Ubisoft,914871.4875,2017,Fall,7,4,1,1,0,0,0,0,0,1,0,0,0,0
DCS World Steam Edition,0.0,33524,86,3739546,Eagle Dynamics SA,3739546.0,2013,Summer,11,4,0,0,0,0,1,0,0,0,0,1,0,0
ARMORED CORE™ VI FIRES OF RUBICON™,59.99,61525,91,1137945,"FromSoftware Inc., Bandai Namco Entertainment Inc.",1137945.0,2023,Summer,1,4,1,0,0,0,0,0,0,0,0,0,0,0
REMNANT II®,49.99,45261,85,1509850,Arc Games,1540695.5,2023,Summer,1,4,1,1,0,0,0,0,0,1,0,0,0,0
Sniper Elite 4,59.99,52375,91,4127200,Rebellion,887431.9230769231,2017,Winter,7,4,1,1,0,0,0,0,0,0,0,0,0,0
War Robots,0.0,22821,62,1367951,MY.GAMES HOLDINGS LTD,1367951.0,2018,Spring,6,4,1,0,0,0,1,0,0,0,0,0,0,0
Manor Lords,39.99,46191,88,2156196,Hooded Horse,650517.2857142857,2024,Spring,0,4,0,0,0,1,0,0,0,0,0,1,0,1
Disco Elysium - The Final Cut,39.99,87810,93,3398018,ZA/UM,3398018.0,2019,Fall,5,4,0,0,0,0,0,0,0,1,0,0,0,0
MapleStory,0.0,12860,65,1353754,Nexon America Inc.,866068.0,2012,Summer,12,4,1,1,1,0,1,0,1,1,0,0,0,0
SCUM,39.99,96896,74,3478246,Jagex Ltd,1419349.6666666667,2018,Summer,6,4,1,1,0,1,0,1,1,0,0,0,0,0
ASTRONEER,29.99,112411,92,3680180,System Era Softworks,3680180.0,2019,Winter,5,4,0,1,0,0,0,1,0,0,0,0,0,0
Hell Let Loose,49.99,110546,83,2238422,Team17,1196493.2631578948,2021,Summer,3,4,1,0,0,0,0,1,1,0,0,1,0,1
The Binding of Isaac: Rebirth,14.99,267187,98,6712571,"Nicalis, Inc.",3259946.6666666665,2014,Fall,10,4,1,0,0,0,0,0,0,0,0,0,0,0
Phantasy Star Online 2 New Genesis,0.0,23190,71,1858896,SEGA,613598.4303797468,2020,Summer,4,4,1,0,0,0,1,0,1,1,0,0,0,0
Slay the Spire,24.99,144171,98,5468068,Mega Crit,5468068.0,2019,Winter,5,4,0,0,0,0,0,1,0,0,0,0,0,1
ARK: Survival Ascended,44.99,51089,59,1475072,"Studio Wildcard, Snail Games USA",1475072.0,2023,Fall,1,4,1,1,0,1,0,1,1,1,0,0,0,0
VRChat,0.0,220822,75,15886898,VRChat Inc.,15886898.0,2017,Winter,7,4,0,1,1,1,1,0,1,0,0,1,1,0
"Warhammer 40,000: Darktide",39.99,87708,67,1770611,Fatshark,1730668.5,2022,Fall,2,4,1,1,0,0,0,1,0,0,0,0,0,0
MORDHAU,29.99,108765,81,2551778,Triternion,2551778.0,2019,Spring,5,4,1,0,0,0,0,1,0,0,0,0,0,0
Detroit: Become Human,39.99,101608,95,2795006,Quantic Dream,1074244.75,2020,Summer,4,4,1,1,0,0,0,0,0,0,0,0,0,0
Beat Saber,29.99,70259,96,2219346,Beat Games,2219346.0,2019,Spring,5,4,0,0,0,0,0,1,0,0,0,0,0,0
Overcooked! 2,24.99,55513,91,5313680,Team17,1196493.2631578948,2018,Summer,6,4,1,0,1,0,0,1,0,0,0,0,0,0
Kerbal Space Program,39.99,117940,95,3690606,Private Division,1225312.8,2015,Spring,9,4,0,0,0,0,0,1,0,0,0,1,0,0
Call of Duty®: WWII,59.99,38967,68,1458227,Activision,921898.9310344828,2017,Fall,7,4,1,0,0,0,0,0,0,0,0,0,0,0
Call of Duty®: Black Ops,39.99,35584,91,2492259,Activision,921898.9310344828,2010,Fall,14,4,1,0,0,0,0,0,0,0,0,0,0,0
Eternal Return,0.0,57406,79,3958669,"Kakao Games Europe B.V. (EU,NA,OCE), Nimble Neuron (Excluding EU,NA,OCE), SapStaR Games",3958669.0,2023,Summer,1,4,0,0,0,0,1,1,0,0,0,0,0,1
The Elder Scrolls® Online,19.99,139941,82,5282682,Bethesda Softworks,1513561.1956521738,2017,Spring,7,4,1,1,0,0,0,0,1,1,0,0,0,0
Microsoft Flight Simulator 40th Anniversary Edition,59.99,57115,79,1053483,Xbox Game Studios,1525461.4473684211,2020,Summer,4,4,0,0,0,0,0,0,0,0,0,1,0,0
Age of Empires II: Definitive Edition,19.99,135859,95,4543564,Xbox Game Studios,1525461.4473684211,2019,Fall,5,4,0,0,0,0,0,0,0,0,0,0,0,1
Ori and the Will of the Wisps,29.99,120317,97,3771066,Xbox Game Studios,1525461.4473684211,2020,Spring,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Jurassic World Evolution,44.99,51606,87,2064017,Frontier Developments,1882492.6,2018,Summer,6,4,0,0,0,0,0,0,0,0,0,1,0,1
Dishonored 2,29.99,56449,89,2343997,Bethesda Softworks,1513561.1956521738,2016,Fall,8,4,1,0,0,0,0,0,0,0,0,0,0,0
Stray,29.99,129938,97,2542030,Annapurna Interactive,657660.5714285715,2022,Summer,2,4,0,1,0,0,0,1,0,0,0,0,0,0
Cities: Skylines II,49.99,47031,56,1194744,Paradox Interactive,1036797.0,2023,Fall,1,4,0,0,0,0,0,0,0,0,0,1,0,0
Trove,0.0,91907,80,9081451,gamigo US Inc.,5350396.5,2015,Summer,9,4,1,1,1,0,1,0,1,1,0,0,0,0
Halo Infinite,0.0,172100,71,9214136,Xbox Game Studios,1525461.4473684211,2021,Fall,3,4,1,0,0,0,1,0,0,0,0,0,0,0
Frostpunk,29.99,97697,92,4092863,11 bit studios,1547853.0,2018,Spring,6,4,0,0,0,0,0,0,0,0,0,1,0,1
Planet Coaster,44.99,61289,92,3148942,"Frontier Developments, Aspyr (Mac)",3148942.0,2016,Fall,8,4,1,1,1,0,0,0,0,0,0,1,0,1
Tabletop Simulator,19.99,59118,96,5020914,Berserk Games,5020914.0,2015,Summer,9,4,0,0,1,0,0,1,0,1,0,1,0,1
Enshrouded,29.99,47428,87,2018167,Keen Games GmbH,2018167.0,2024,Winter,0,4,1,1,0,1,0,0,0,1,0,0,0,0
theHunter: Call of the Wild™,19.99,147194,88,6180885,Expansive Worlds,3193798.5,2017,Winter,7,4,0,1,0,0,0,0,0,0,0,1,1,0
Portal,9.99,144452,99,13178922,Valve,2727962.84,2007,Fall,17,4,1,0,0,0,0,0,0,0,0,0,0,0
Conan Exiles,39.99,97116,79,2443372,Funcom,829889.4285714285,2018,Spring,6,4,1,1,0,0,0,0,1,1,0,1,0,1
Age of Empires IV: Anniversary Edition,39.99,61342,87,2011487,Xbox Game Studios,1525461.4473684211,2021,Fall,3,4,0,0,0,0,0,0,0,0,0,0,0,1
Football Manager 2024,59.99,10061,89,999289,SEGA,613598.4303797468,2023,Fall,1,4,0,0,0,0,0,0,0,0,0,1,1,1
Persona 5 Royal,59.99,50097,97,1510697,SEGA,613598.4303797468,2022,Fall,2,4,0,0,0,0,0,0,0,1,0,0,0,0
Green Hell,24.99,62506,87,3338549,Creepy Jar,3338549.0,2019,Fall,5,4,1,1,0,0,0,1,0,0,0,1,0,0
CODE VEIN,59.99,51454,86,1749519,Bandai Namco Entertainment,768168.0714285715,2019,Fall,5,4,1,0,0,0,0,0,0,1,0,0,0,0
Paladins®,0.0,344829,85,19262159,Hi-Rez Studios,7283830.5,2018,Spring,6,4,1,1,0,0,1,0,1,0,0,0,0,1
Fallout 76,39.99,93142,73,2496003,Bethesda Softworks,1513561.1956521738,2020,Spring,4,4,0,0,0,0,0,0,0,1,0,0,0,0
GTFO,39.99,53066,85,1842692,10 Chambers,1842692.0,2021,Winter,3,4,1,0,0,0,0,0,0,0,0,0,0,0
Remnant: From the Ashes,39.99,48784,85,1951746,Arc Games,1540695.5,2019,Summer,5,4,1,1,0,0,0,0,0,1,0,0,0,0
Insurgency: Sandstorm,29.99,114690,85,2845534,Focus Entertainment,541846.2352941176,2018,Winter,6,4,1,0,0,0,0,0,0,0,0,0,0,0
Cult of the Lamb,24.99,69101,95,2821752,Devolver Digital,766832.0655737704,2022,Summer,2,4,1,1,0,0,0,1,0,0,0,0,0,1
Conqueror's Blade,0.0,29708,75,2398275,Poros Interactive,2398275.0,2019,Spring,5,4,1,0,0,0,1,0,1,0,0,0,0,1
Far Cry® 4,29.99,50016,84,2765768,Ubisoft,914871.4875,2014,Fall,10,4,1,1,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto IV: The Complete Edition,19.99,141657,81,7424433,Rockstar Games,1577840.2307692308,2020,Spring,4,4,1,1,0,0,0,0,0,0,0,0,0,0
鬼谷八荒 Tale of Immortal,19.99,219666,52,3681268,"鬼谷工作室, Lightning Games",3681268.0,2023,Spring,1,4,1,1,0,0,0,1,0,1,0,1,0,0
Days Gone,49.99,72215,93,1959674,PlayStation Publishing LLC,966504.6153846154,2021,Spring,3,4,1,1,0,0,0,0,0,0,0,0,0,0
Titanfall® 2,29.99,201539,95,8800017,Electronic Arts,1221779.0483870967,2020,Summer,4,4,1,0,0,0,0,0,0,0,0,0,0,0
BioShock Infinite,49.99,133590,94,5150974,2K,1044324.4615384615,2013,Spring,11,4,1,0,0,0,0,0,0,0,0,0,0,0
Far Cry 3,19.99,95567,90,5085122,Ubisoft,914871.4875,2012,Winter,12,4,1,1,0,0,0,0,0,0,0,0,0,0
The First Descendant,0.0,56873,52,4158673,NEXON,2877896.3333333335,2024,Summer,0,4,1,1,0,0,1,0,0,1,0,0,0,0
Ghost of Tsushima DIRECTOR'S CUT,59.99,29061,91,836689,PlayStation Publishing LLC,966504.6153846154,2024,Spring,0,4,1,1,0,0,0,0,0,0,0,0,0,0
Space Engineers,19.99,120763,89,4308592,Keen Software House,2323443.5,2019,Winter,5,4,1,0,0,0,0,1,0,0,0,1,0,1
Call of Duty®: Black Ops II,59.99,43236,86,1767224,Activision,921898.9310344828,2012,Fall,12,4,1,0,0,0,0,0,0,0,0,0,0,0
BattleBit Remastered,14.99,118334,89,3379982,SgtOkiDoki,3379982.0,2023,Summer,1,4,1,0,0,1,0,0,1,0,0,0,0,0
Assassin's Creed® Unity,29.99,61740,78,2840921,Ubisoft,914871.4875,2014,Fall,10,4,1,1,0,0,0,0,0,0,0,0,0,0
Tomb Raider,14.99,226984,96,7313952,"Crystal Dynamics, Feral Interactive (Mac)",7313952.0,2013,Spring,11,4,1,1,0,0,0,0,0,0,0,0,0,0
Total War: ROME II - Emperor Edition,59.99,74790,87,2257129,SEGA,613598.4303797468,2013,Fall,11,4,0,0,0,0,0,0,0,0,0,0,0,1
Killing Floor 2,29.99,115207,88,3654240,Tripwire Interactive,1287160.7777777778,2016,Fall,8,4,1,0,0,0,0,0,0,0,0,0,0,0
Albion Online,0.0,74298,80,6388495,Sandbox Interactive GmbH,6388495.0,2018,Spring,6,4,0,0,0,0,1,0,1,1,0,0,0,0
Battlefield™ 1,39.99,133752,87,7131996,Electronic Arts,1221779.0483870967,2020,Summer,4,4,1,0,0,0,0,0,1,0,0,0,0,0
RuneScape ®,0.0,23645,84,2051388,Jagex Ltd,1419349.6666666667,2020,Fall,4,4,0,0,0,0,1,0,1,1,0,0,0,0
Back 4 Blood,59.99,50931,66,1953004,Warner Bros. Games,2258570.2,2021,Fall,3,4,1,0,0,0,0,0,0,0,0,0,0,0
Starbound,14.99,117489,91,4210173,Chucklefish,916218.3333333334,2016,Summer,8,4,1,1,1,0,0,1,0,1,0,0,0,0
Jurassic World Evolution 2,59.99,24338,87,1648025,Frontier Developments,1882492.6,2021,Fall,3,4,0,0,0,0,0,0,0,0,0,1,0,1
Warhammer: Vermintide 2,29.99,117034,85,3677296,Fatshark,1730668.5,2018,Spring,6,4,1,0,0,0,0,1,0,0,0,0,0,0
Mass Effect™ Legendary Edition,59.99,43743,91,1662712,Electronic Arts,1221779.0483870967,2021,Spring,3,4,1,0,0,0,0,0,0,1,0,0,0,0
EVE Online,0.0,34191,74,4109312,CCP,4109312.0,2010,Winter,14,4,1,0,0,0,1,0,1,1,0,0,0,1
The Last of Us™ Part I,59.99,45711,68,845107,PlayStation Publishing LLC,966504.6153846154,2023,Spring,1,4,1,1,0,0,0,0,0,0,0,0,0,0
Resident Evil 7 Biohazard,19.99,78822,95,2469708,"CAPCOM Co., Ltd.",1327660.2857142857,2017,Winter,7,4,1,1,0,0,0,0,0,0,0,0,0,0
Granblue Fantasy: Relink,59.99,36088,90,892854,"Cygames, Inc.",528252.0,2024,Winter,0,4,1,1,0,0,0,0,0,1,0,0,0,0
FINAL FANTASY VII REMAKE INTERGRADE,69.99,23854,90,1058609,Square Enix,733116.220338983,2022,Summer,2,4,1,1,0,0,0,0,0,1,0,0,0,0
Resident Evil Village,39.99,100020,96,1915610,"CAPCOM Co., Ltd.",1327660.2857142857,2021,Spring,3,4,1,0,0,0,0,0,0,0,0,0,0,0
Darkest Dungeon®,24.99,129591,92,5287218,Red Hook Studios,2908235.0,2016,Winter,8,4,0,0,0,0,0,1,0,1,0,0,0,1
HITMAN World of Assassination,29.99,24465,86,1379737,IO Interactive A/S,826760.5,2022,Winter,2,4,1,1,0,0,0,0,0,0,0,0,0,0
TEKKEN 8,69.99,28093,74,646178,Bandai Namco Entertainment,768168.0714285715,2024,Winter,0,3,1,0,0,0,0,0,0,0,0,0,0,0
The Long Dark,19.99,99092,91,3829901,Hinterland Studio Inc.,3829901.0,2017,Summer,7,4,0,1,0,0,0,1,0,0,0,1,0,1
FINAL FANTASY XV WINDOWS EDITION,34.99,47322,83,1706581,Square Enix,733116.220338983,2018,Spring,6,4,0,0,0,0,0,0,0,1,0,0,0,0
FINAL FANTASY XIV Online,19.99,69965,89,2241863,Square Enix,733116.220338983,2014,Winter,10,4,0,0,0,0,0,0,1,1,0,0,0,0
Barotrauma,34.99,59478,94,2764344,Daedalic Entertainment,358465.77142857143,2023,Spring,1,4,1,0,0,0,0,1,0,0,0,1,0,1
Teardown,29.99,86889,96,2086190,"Tuxedo Labs, Saber Interactive",2086190.0,2022,Spring,2,4,1,0,0,0,0,1,0,0,0,1,0,1
Farming Simulator 19,17.99,70227,94,2024289,Giants Software,1449093.5,2018,Fall,6,4,0,0,0,0,0,0,0,0,0,1,0,0
Dead Space,59.99,35998,91,955133,Electronic Arts,1221779.0483870967,2023,Winter,1,4,1,1,0,0,0,0,0,0,0,0,0,0
Mafia III: Definitive Edition,29.99,48328,57,1267430,"2K, Aspyr (Mac)",1267430.0,2020,Spring,4,4,1,1,0,0,0,0,0,0,0,0,0,0
Gunfire Reborn,19.99,91148,94,3434329,Duoyi Games,3434329.0,2021,Fall,3,4,1,1,0,0,0,1,0,1,0,0,0,0
Warface: Clutch,0.0,82443,67,10957811,MY.GAMES,5633403.0,2014,Summer,10,4,1,0,0,0,1,0,1,0,0,0,0,0
Realm of the Mad God Exalt,0.0,45552,83,4069856,Deca Games,4069856.0,2012,Winter,12,4,1,0,0,0,1,1,1,1,0,0,0,0
NBA 2K23,59.99,47041,62,1957776,2K,1044324.4615384615,2022,Fall,2,4,0,0,0,0,0,0,0,0,0,1,1,0
TEKKEN 7,39.99,87075,83,2202726,BANDAI NAMCO Entertainment,548805.9117647059,2017,Summer,7,4,1,0,0,0,0,0,0,0,0,0,1,0
Elite Dangerous,19.99,90609,77,2580781,Frontier Developments,1882492.6,2015,Spring,9,4,1,1,0,0,0,0,1,1,0,1,0,1
Half-Life 2,9.99,179295,98,9610706,Valve,2727962.84,2007,Fall,17,4,1,0,0,0,0,0,0,0,0,0,0,0
Mortal Kombat 11,49.99,90919,88,3134439,"Warner Bros. Games, Warner Bros. Interactive Entertainment",1593582.6666666667,2019,Spring,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Fallout: New Vegas,9.99,188778,97,7718099,Bethesda Softworks,1513561.1956521738,2010,Fall,14,4,1,0,0,0,0,0,0,1,0,0,0,0
Europa Universalis IV,39.99,121330,87,2371088,Paradox Interactive,1036797.0,2013,Summer,11,4,0,0,0,0,0,0,0,0,0,1,0,1
Shadow of the Tomb Raider: Definitive Edition,0.0,67609,85,3160589,"Crystal Dynamics, Feral Interactive (Mac), Feral interactive (Linux)",3160589.0,2018,Fall,6,4,1,1,0,0,0,0,0,0,0,0,0,0
Neverwinter,0.0,37732,78,4734618,Arc Games,1540695.5,2013,Winter,11,4,1,1,0,0,1,0,1,1,0,0,0,0
THE FINALS,0.0,174665,75,8872416,Embark Studios,8872416.0,2023,Winter,1,4,1,0,0,0,1,0,0,0,0,0,0,0
Fallout 3: Game of the Year Edition,19.99,42271,81,3122392,Bethesda Softworks,1513561.1956521738,2009,Winter,15,4,0,0,0,0,0,0,0,1,0,0,0,0
LEGO® Star Wars™: The Skywalker Saga,49.99,39839,91,1491874,"Warner Bros. Games, Warner Bros. Interactive Entertainment",1593582.6666666667,2022,Spring,2,4,1,1,0,0,0,0,0,0,0,0,0,0
Call of Duty®: Modern Warfare® 2 (2009),19.99,54043,93,3099576,Activision,921898.9310344828,2009,Fall,15,4,1,0,0,0,0,0,0,0,0,0,0,0
Bloons TD 6,13.99,286757,97,7518251,Ninja Kiwi,2025844.125,2018,Winter,6,4,0,0,0,0,0,0,0,0,0,0,0,1
ULTRAKILL,24.99,106620,98,1891659,New Blood Interactive,633578.2,2020,Fall,4,4,1,0,0,1,0,1,0,0,0,0,0,0
Deus Ex: Mankind Divided,29.99,38811,76,1726232,"Eidos Interactive Corp., Feral Interactive (Linux), Feral Interactive (Mac)",1726232.0,2016,Summer,8,4,1,0,0,0,0,0,0,1,0,0,0,0
South Park™: The Stick of Truth™,29.99,58518,98,2803450,Ubisoft,914871.4875,2014,Spring,10,4,1,1,0,0,0,0,0,1,0,0,0,0
World of Tanks,0.0,77723,85,2548083,Wargaming Group Limited,1497375.5,2021,Spring,3,4,1,0,0,0,1,0,1,0,0,1,0,0
PlanetSide 2,0.0,71921,81,7497483,Daybreak Game Company,4082585.0,2012,Fall,12,4,1,0,0,0,1,0,1,0,0,0,0,0
Hades II,29.99,41940,95,1292960,Supergiant Games,1400554.5,2024,Spring,0,4,1,0,0,1,0,1,0,1,0,0,0,0
House Flipper,24.99,82829,94,3366769,"Frozen District, PlayWay S.A.",1870719.0,2018,Spring,6,4,0,0,0,0,0,1,0,0,0,1,0,0
Fishing Planet,0.0,56745,86,6762072,Fishing Planet LLC,6762072.0,2017,Summer,7,4,0,0,0,0,1,0,1,0,0,1,1,0
Age of Empires II (Retired),19.99,98295,96,5399832,Xbox Game Studios,1525461.4473684211,2013,Spring,11,4,0,0,0,0,0,0,0,0,0,0,0,1
Watch_Dogs™,19.99,38774,76,1996928,Ubisoft,914871.4875,2014,Spring,10,4,1,1,0,0,0,0,0,0,0,0,0,0
Total War: SHOGUN 2,29.99,57116,92,1712419,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",1860733.111111111,2011,Spring,13,4,0,0,0,0,0,0,0,0,0,0,0,1
Gang Beasts,19.99,53261,84,3267730,Boneloaf,3267730.0,2017,Winter,7,4,1,1,1,0,0,1,0,0,0,1,0,0
DARK SOULS™ II: Scholar of the First Sin,39.99,95367,85,2668529,"Bandai Namco Entertainment, FromSoftware, Inc",2668529.0,2015,Spring,9,4,1,0,0,0,0,0,0,1,0,0,0,0
They Are Billions,29.99,44454,85,1752659,Numantian Games,1752659.0,2019,Summer,5,4,0,0,0,0,0,0,0,0,0,0,0,1
DRAGON BALL FighterZ,59.99,65455,91,1756254,Bandai Namco Entertainment,768168.0714285715,2018,Winter,6,4,1,0,0,0,0,0,0,0,0,0,0,0
DRAGON BALL Z: KAKAROT,59.99,45239,93,1164791,Bandai Namco Entertainment Inc.,605386.0,2020,Winter,4,4,1,0,0,0,0,0,0,1,0,0,0,0
Metro Exodus,29.99,98767,89,3369894,Deep Silver,1304229.3043478262,2020,Winter,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Subnautica: Below Zero,29.99,82597,91,2154333,Unknown Worlds Entertainment,1625432.0,2021,Spring,3,4,0,1,0,0,0,1,0,0,0,0,0,0
Mad Max,19.99,70900,92,2251258,"Warner Bros. Games, Warner Bros. Interactive Entertainment",1593582.6666666667,2015,Fall,9,4,1,1,0,0,0,0,0,0,0,0,0,0
Slime Rancher,19.99,113497,98,4005165,Monomi Park,2446643.5,2017,Summer,7,4,1,1,0,0,0,1,0,0,0,1,0,0
Anno 1800,59.99,16200,81,1479361,Ubisoft,914871.4875,2019,Spring,5,4,0,0,0,0,0,0,0,0,0,1,0,1
Kenshi,29.99,77389,95,2319274,Lo-Fi Games,2319274.0,2018,Winter,6,4,1,0,0,0,0,1,0,1,0,1,0,1
Among Us,4.99,667225,92,20157649,Innersloth,7058637.0,2018,Fall,6,4,0,0,1,0,0,0,0,0,0,0,0,0
Outward Definitive Edition,39.99,24468,73,1245783,Prime Matter,555231.0,2022,Spring,2,4,0,0,0,0,0,0,0,1,0,0,0,0
